Admis,noteStage,nbEntreprise,nbReponse,nbEntretiens,trouve
0,15,30,11,10,0
0,8,4,4,2,0
1,2,7,0,0,0
1,11,7,3,1,0
1,0,9,7,0,0
1,9,16,4,0,0
0,0,23,23,13,0
0,20,23,17,4,0
0,16,5,4,2,0
0,10,30,13,9,0
0,19,6,3,0,0
1,5,12,6,3,1
0,11,25,19,16,0
0,15,26,26,2,0
1,15,7,3,3,0
1,1,16,14,3,1
0,9,18,2,0,0
0,10,9,2,1,0
1,12,5,3,1,0
0,11,27,8,6,0
0,16,20,19,5,0
1,20,12,12,3,1
0,3,14,7,2,0
0,9,13,7,0,0
1,8,27,18,18,1
0,13,12,10,4,0
1,17,7,3,2,0
1,3,15,15,2,1
1,18,4,2,1,1
1,10,12,7,7,1
1,11,14,13,10,1
0,11,25,5,5,0
0,15,22,21,19,0
1,18,3,0,0,1
0,11,27,23,5,0
1,5,29,11,11,1
0,10,29,5,3,0
0,16,4,4,2,0
1,0,17,12,9,1
1,19,13,9,3,1
1,20,4,4,1,1
0,1,18,10,9,0
0,17,17,12,12,0
0,18,7,3,2,0
0,11,0,0,0,0
0,16,2,2,2,0
0,13,7,7,4,0
0,19,27,19,8,0
1,14,11,4,4,0
1,5,4,0,0,0
1,18,9,1,1,1
0,8,3,2,0,0
0,9,5,0,0,0
1,2,19,4,4,1
1,9,0,0,0,0
0,18,14,1,0,0
1,5,1,1,1,0
0,2,9,6,3,0
1,19,17,10,10,1
0,1,4,4,0,0
1,15,14,5,5,1
0,16,22,4,3,0
0,8,18,16,6,0
0,6,21,21,8,0
0,4,15,11,6,0
1,16,3,1,0,0
0,9,28,7,5,0
1,16,19,7,3,1
1,19,24,17,13,1
0,12,25,21,3,0
0,14,2,1,1,0
1,14,19,19,12,1
1,0,19,11,3,1
0,3,30,23,4,0
0,20,29,19,8,0
0,7,28,2,1,0
1,16,28,22,20,1
0,0,1,0,0,0
1,4,19,9,0,0
1,14,9,9,6,1
1,5,22,7,1,1
1,13,0,0,0,0
1,12,1,1,0,0
1,13,18,1,0,0
0,13,6,6,0,0
0,12,11,7,2,0
1,8,18,15,0,0
0,18,8,4,4,0
1,9,10,2,1,0
0,20,30,1,0,0
0,20,27,7,7,0
0,11,28,11,11,0
1,5,12,8,6,1
1,12,23,0,0,0
0,0,9,0,0,0
1,6,26,12,2,1
0,7,15,7,2,0
1,5,27,23,8,1
0,20,13,10,4,0
